ID,Price,Levy,Manufacturer,Model,Prod..year,Category,Leather.interior,Fuel.type,Mileage,Cylinders,Gear.box.type,Drive.wheels,Color,Airbags
45809839,34889,891,HONDA,Civic,2016,Sedan,TRUE,Petrol,87768,4,Automatic,Front,Blue,4
45802148,14583,0,RENAULT,Megane 1.5CDI,2008,Sedan,FALSE,Diesel,132542,4,Manual,Front,White,10
44153312,38500,639,AUDI,Q5,2014,Jeep,TRUE,Petrol,87000,1,Tiptronic,4x4,White,12
44316016,87112,0,MERCEDES-BENZ,GLA 250,2019,Jeep,TRUE,Petrol,5323,4,Tiptronic,4x4,Grey,0
44679525,23521,781,CHEVROLET,Cruze LT,2018,Sedan,FALSE,Petrol,22000,4,Automatic,Front,Red,6
45418626,16935,530,FORD,Fusion,2013,Sedan,FALSE,Petrol,83000,4,Tiptronic,Front,Silver,8
45323316,10349,0,TOYOTA,VOXY,2007,Minivan,TRUE,Petrol,170000,4,Automatic,Front,Black,6
45802190,34657,777,HYUNDAI,H1,2014,Minivan,TRUE,Diesel,154672,4,Automatic,Front,Silver,4
45802203,36564,1091,HYUNDAI,H1,2016,Minivan,TRUE,Diesel,110969,4,Automatic,Front,Black,4
45802120,30063,934,HYUNDAI,H1,2015,Universal,TRUE,Diesel,148105,4,Automatic,Front,Silver,4
45797480,43952,1249,HYUNDAI,H1,2017,Universal,TRUE,Diesel,111643,4,Automatic,Front,Grey,4
45732043,53154,891,HYUNDAI,Santa FE,2016,Jeep,TRUE,Diesel,84506,4,Automatic,Front,Silver,4
45624039,42337,0,FORD,Mustang,2016,Cabriolet,TRUE,Petrol,75000,4,Tiptronic,Rear,Silver,6
45787521,18189,0,TOYOTA,Prius,2012,Sedan,FALSE,Petrol,175000,4,Automatic,Front,Silver,8
45800993,21953,1187,HONDA,Civic,2014,Sedan,FALSE,Hybrid,16000,8,Automatic,4x4,White,10
45771208,21953,781,TOYOTA,Camry,2012,Sedan,FALSE,Petrol,195053,4,Automatic,Front,Black,0
45801684,19121,531,HYUNDAI,Elantra,2012,Sedan,TRUE,Petrol,121362,4,Automatic,Front,Black,4
45732386,36065,639,HYUNDAI,Santa FE,2014,Jeep,TRUE,Diesel,69191,4,Automatic,Front,White,4
45810513,16289,642,CHEVROLET,Orlando,2012,Jeep,TRUE,Diesel,172000,4,Automatic,Front,Grey,4
45792882,27284,891,HYUNDAI,Elantra,2016,Sedan,FALSE,Petrol,105394,4,Tiptronic,Front,Black,12
45330228,32929,0,BMW,428 Sport Line,2013,Coupe,TRUE,Petrol,160000,4,Automatic,Rear,Black,12
45797276,15458,966,HYUNDAI,Genesis,2009,Coupe,TRUE,Petrol,123346,4,Automatic,Front,Black,4
44094036,12858,765,FORD,Focus SE,2015,Sedan,FALSE,Petrol,91200,4,Automatic,Front,Sky blue,10
45742789,12858,0,KIA,Picanto,2016,Hatchback,FALSE,Petrol,107000,4,Manual,Front,Silver,2
45808992,85553,1156,FORD,Explorer,2017,Jeep,TRUE,Petrol,100567,4,Automatic,Front,Black,4
45731735,44752,1091,HYUNDAI,H1,2016,Universal,TRUE,Diesel,86000,4,Automatic,Front,Grey,4
45797948,17158,687,HYUNDAI,Elantra,2010,Sedan,TRUE,Petrol,122740,4,Automatic,Front,White,4
45782067,12231,0,MITSUBISHI,Airtrek,2005,Jeep,FALSE,LPG,144000,4,Tiptronic,4x4,White,16
45534351,11917,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,TRUE,Petrol,150000,12,Tiptronic,Rear,White,12
45726679,25591,640,SSANGYONG,Korando,2013,Jeep,TRUE,Diesel,85704,4,Automatic,Front,Silver,4
45803059,14897,836,HYUNDAI,Santa FE,2010,Jeep,TRUE,Diesel,58962,4,Automatic,Front,White,4
45770405,23521,779,TOYOTA,Camry,2013,Sedan,TRUE,Hybrid,90000,4,Tiptronic,Front,White,12
45636958,16935,765,FORD,Fusion,2015,Sedan,TRUE,Petrol,71454,4,Automatic,Front,Black,0
45757670,19444,781,TOYOTA,Camry,2012,Sedan,TRUE,Petrol,0,4,Tiptronic,Front,Black,6
45802837,51965,891,HYUNDAI,Santa FE,2016,Jeep,TRUE,Diesel,59515,4,Automatic,Front,Blue,4
45797732,13328,1347,HYUNDAI,H1,2008,Minivan,TRUE,Diesel,74444,4,Automatic,Front,Yellow,4
45762683,17876,0,NISSAN,Serena,2012,Minivan,FALSE,Petrol,143000,4,Tiptronic,Front,White,12
45732074,20071,0,TOYOTA,RAV 4,2008,Jeep,FALSE,Petrol,135000,4,Automatic,4x4,Silver,8
45731782,22894,862,HYUNDAI,H1,2011,Minivan,TRUE,Diesel,124444,4,Automatic,Front,Yellow,4
45766794,15681,0,MITSUBISHI,Pajero,1997,Jeep,FALSE,Petrol,142000,4,Automatic,4x4,Blue,6
45764126,39829,1811,LEXUS,GX 460,2010,Jeep,TRUE,Petrol,155821,8,Automatic,4x4,Black,0
44698379,18660,0,HYUNDAI,Sonata,2013,Sedan,TRUE,Petrol,130000,4,Tiptronic,Front,Black,6
45770233,22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,TRUE,Petrol,50930,4,Automatic,Rear,Black,12
45642844,18817,609,TOYOTA,Camry,2018,Sedan,TRUE,Hybrid,35058,4,Automatic,Front,White,12
44921934,21169,697,HONDA,Hr-v EX,2015,Jeep,FALSE,Petrol,33330,4,Automatic,4x4,Grey,8
45451626,17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,TRUE,Petrol,117920,4,Tiptronic,Front,Grey,12
45796845,21395,781,HYUNDAI,H1,2012,Universal,TRUE,Diesel,166144,4,Automatic,Front,Silver,4
45810003,40070,690,TOYOTA,Aqua,2016,Hatchback,TRUE,Petrol,25807,4,Automatic,Front,Black,4
44875253,11917,0,MERCEDES-BENZ,A 170,2008,Hatchback,FALSE,Petrol,180000,4,Automatic,Front,Golden,8
45807577,72130,1079,LEXUS,NX 300,2018,Jeep,TRUE,Petrol,18918,4,Tiptronic,Front,Black,6
45729867,35927,640,SSANGYONG,REXTON,2013,Jeep,TRUE,Diesel,137267,4,Automatic,Front,Silver,4
45801397,21012,308,TOYOTA,Prius,2014,Sedan,FALSE,Hybrid,160000,4,Automatic,4x4,White,4
45765622,21012,1823,TOYOTA,Tacoma,2018,Sedan,TRUE,Petrol,27358,6,Automatic,Front,Grey,12
45781785,13172,1361,KIA,Carnival grand,2009,Minivan,TRUE,Diesel,84176,4,Automatic,Front,White,6
45802035,15624,707,HYUNDAI,Genesis,2011,Coupe,TRUE,Petrol,107005,4,Automatic,Front,Grey,4
45801611,20005,531,HYUNDAI,Elantra,2012,Sedan,TRUE,Petrol,104997,4,Automatic,Front,White,4
45792460,36110,924,VOLKSWAGEN,Passat,2017,Sedan,TRUE,Petrol,27728,6,Tiptronic,Front,Silver,8
45802937,43880,891,HYUNDAI,Santa FE,2016,Jeep,TRUE,Diesel,113700,4,Automatic,Front,Silver,4
45675386,29479,584,MERCEDES-BENZ,C 250,2014,Sedan,TRUE,Petrol,69000,4,Tiptronic,Rear,Grey,8
45795520,17249,0,TOYOTA,Camry,2011,Sedan,TRUE,Hybrid,152000,4,Variator,Front,White,12
45802938,44213,891,HYUNDAI,Santa FE,2016,Jeep,TRUE,Diesel,50255,4,Automatic,Front,Red,4
45395938,21950,831,FORD,Transit,2011,Goods wagon,FALSE,Diesel,125000,4,Manual,4x4,White,2
45793479,31500,0,NISSAN,Pathfinder,2010,Jeep,TRUE,LPG,90200,6,Tiptronic,4x4,Black,12
43390500,20385,0,MITSUBISHI,Delica,2005,Minivan,TRUE,Petrol,184000,6,Automatic,4x4,White,12
45787317,56450,0,TOYOTA,Camry Se,2018,Sedan,TRUE,Petrol,25000,4,Tiptronic,Front,Blue,12
45767823,25716,777,TOYOTA,Camry,2014,Sedan,FALSE,Petrol,115200,4,Automatic,Front,Silver,8
45810599,14426,642,CHEVROLET,Orlando,2012,Jeep,TRUE,LPG,132036,4,Automatic,Front,White,4
45709646,10820,0,TOYOTA,RAV 4,2001,Jeep,FALSE,Petrol,91000,4,Automatic,4x4,Silver,4
45808960,45436,1172,FORD,Explorer,2011,Jeep,TRUE,Petrol,129177,4,Automatic,Front,White,4
45802892,41281,765,HYUNDAI,Santa FE,2015,Jeep,TRUE,Diesel,185811,4,Automatic,Front,Black,4
45816588,15681,0,SUZUKI,Grand Vitara,2008,Jeep,FALSE,Petrol,98000,4,Automatic,4x4,Black,12
45798451,12544,0,TOYOTA,Prius,2007,Hatchback,FALSE,Hybrid,140000,4,Automatic,Front,Beige,6
45803832,30063,639,HYUNDAI,Tucson,2014,Jeep,TRUE,Diesel,120000,4,Automatic,Front,White,4
45156280,72130,1885,PORSCHE,Panamera,2010,Hatchback,TRUE,Petrol,196800,8,Tiptronic,4x4,White,8
45801000,21639,0,HYUNDAI,Veloster,2015,Hatchback,FALSE,Petrol,17200,4,Tiptronic,Front,Red,10
44782223,36692,0,TOYOTA,RAV 4 XLE Sport,2013,Jeep,FALSE,Petrol,120000,4,Tiptronic,Front,White,0
45453314,12231,1266,TOYOTA,Aqua,2014,Hatchback,FALSE,Hybrid,66000,4,Variator,Front,Silver,4
41704944,19130,2148,MERCEDES-BENZ,CLS 550,2010,Sedan,TRUE,Petrol,157000,4,Automatic,Front,Grey,10
45781861,15367,640,VOLKSWAGEN,Passat,2013,Sedan,TRUE,Diesel,179200,4,Tiptronic,Front,White,16
45731459,26594,777,HYUNDAI,H1,2014,Minivan,TRUE,Diesel,179918,4,Automatic,Front,Silver,4
45536422,36065,779,TOYOTA,Avalon LIMITED,2013,Sedan,TRUE,Hybrid,92200,4,Tiptronic,Front,Beige,12
45742092,26343,730,KIA,Cerato K3,2016,Sedan,TRUE,Diesel,29000,4,Tiptronic,Front,Silver,8
45506452,14000,585,HYUNDAI,Elantra,2013,Sedan,FALSE,Petrol,50000,4,Tiptronic,Front,Grey,10
45809707,17923,473,CHEVROLET,Cruze,2014,Sedan,TRUE,Petrol,127842,4,Automatic,Front,White,4
45804644,54518,831,HYUNDAI,Tucson,2017,Jeep,TRUE,Petrol,40193,4,Automatic,Front,Black,4
45761379,10349,0,OPEL,Astra G,2003,Hatchback,FALSE,Petrol,180000,4,Manual,Front,Silver,6
45804525,22063,836,HYUNDAI,Tucson,2010,Jeep,TRUE,Diesel,142264,4,Automatic,Front,White,4
45809446,16900,502,HONDA,FIT,2013,Hatchback,TRUE,Petrol,70000,4,Automatic,Front,Blue,4
45315594,18189,0,NISSAN,Rogue,2010,Jeep,TRUE,Petrol,122000,4,Automatic,4x4,Silver,4
45770019,42651,1017,MERCEDES-BENZ,GLA 250,2017,Jeep,TRUE,Petrol,44995,4,Automatic,4x4,Black,0
45813976,15524,586,TOYOTA,Prius,2012,Hatchback,FALSE,Hybrid,122324,4,Automatic,Front,Red,7
45636297,17249,0,BMW,530,2007,Sedan,TRUE,Petrol,111111,6,Tiptronic,Rear,Grey,10
45794250,73071,0,LEXUS,GS 350,2013,Sedan,TRUE,Petrol,56000,6,Tiptronic,Rear,Black,12
45797238,28909,831,HYUNDAI,Elantra,2017,Sedan,TRUE,Diesel,98000,4,Automatic,Front,White,4
45803460,14426,639,HYUNDAI,Sonata,2014,Sedan,TRUE,LPG,169024,4,Automatic,Front,White,4
45787509,22580,779,TOYOTA,Camry,2013,Sedan,TRUE,Petrol,156666,4,Automatic,Front,Black,12
45804881,59865,879,HYUNDAI,Tucson,2019,Jeep,TRUE,Diesel,13000,4,Automatic,Front,White,4
45765365,49237,1342,TOYOTA,Tacoma,2017,Jeep,TRUE,Petrol,94262,4,Automatic,Rear,White,12
45796914,68223,1327,HYUNDAI,H1,2018,Universal,TRUE,Diesel,27406,4,Automatic,Front,Yellow,4
45771597,22266,0,FORD,Fusion,2013,Sedan,TRUE,Petrol,85500,4,Automatic,Front,Black,8
45807457,33556,765,MERCEDES-BENZ,C 300,2015,Sedan,TRUE,Petrol,0,4,Automatic,Rear,Black,12
45730558,39161,831,SSANGYONG,Actyon,2017,Jeep,TRUE,Diesel,73000,4,Automatic,Front,White,4
45815469,16308,0,FORD,Transit,2008,Microbus,FALSE,Diesel,180000,4,Manual,Front,White,2
45539130,17719,0,TOYOTA,Camry,2009,Sedan,TRUE,Hybrid,92000,4,Tiptronic,Front,Sky blue,8
45659883,43278,1514,LEXUS,GX 460,2011,Jeep,TRUE,Petrol,160138,8,Automatic,4x4,White,0
44810053,20385,738,CHEVROLET,Cruze,2017,Sedan,FALSE,Petrol,42000,4,Tiptronic,Front,Black,12
45804880,49858,1077,HYUNDAI,Tucson,2019,Jeep,TRUE,Diesel,48000,4,Automatic,Front,White,4
45787301,21326,0,MERCEDES-BENZ,CLS 500,2006,Sedan,TRUE,Petrol,2000,8,Automatic,Rear,Grey,12
45804856,51075,1017,HYUNDAI,Tucson,2017,Jeep,TRUE,Diesel,40800,4,Automatic,Front,White,4
45802041,15241,707,HYUNDAI,Genesis,2011,Coupe,TRUE,Petrol,117492,4,Automatic,Front,Grey,4
45797839,15524,1347,HYUNDAI,H1,2008,Minivan,TRUE,Diesel,56769,4,Automatic,Front,Silver,4
45793323,27911,0,MERCEDES-BENZ,C 250,2014,Sedan,TRUE,Petrol,70000,4,Tiptronic,Rear,Beige,8
45797924,18208,531,HYUNDAI,Elantra,2012,Sedan,TRUE,Petrol,95665,4,Automatic,Front,Grey,4
44006324,34497,779,TOYOTA,RAV 4 Le,2013,Jeep,FALSE,Petrol,65350,4,Tiptronic,Front,White,12
45731752,43576,1091,HYUNDAI,H1,2016,Universal,TRUE,Diesel,97129,4,Automatic,Front,Silver,4
45115251,28225,1079,TOYOTA,CHR,2018,Jeep,FALSE,Petrol,24000,4,Automatic,Front,Grey,8
45800731,18817,738,CHEVROLET,Cruze,2017,Hatchback,TRUE,Petrol,29094,4,Automatic,Front,Grey,0
45810175,13172,1399,LEXUS,RX 450,2010,Jeep,TRUE,Hybrid,186005,6,Automatic,4x4,Silver,12
45342484,37320,1055,MERCEDES-BENZ,E 350 <U+10D0><U+10DB><U+10D2>,2013,Sedan,TRUE,Petrol,156800,4,Tiptronic,4x4,Black,12
45504338,39201,456,TOYOTA,Camry,2015,Sedan,TRUE,Hybrid,35000,4,Automatic,Front,Grey,10
45797233,36426,880,HYUNDAI,Elantra,2018,Sedan,TRUE,LPG,35643,4,Automatic,Front,White,4
45752253,12701,900,HONDA,Cr-v,2015,Jeep,TRUE,Petrol,117158,4,Automatic,Front,White,12
45548523,46414,456,TOYOTA,Avalon,2015,Sedan,TRUE,Hybrid,63645,4,Tiptronic,Front,White,12
45806590,45160,798,MERCEDES-BENZ,ML 250,2015,Jeep,TRUE,Diesel,197338,4,Automatic,4x4,White,12
45814316,100355,0,AUDI,A7 Prestige,2016,Sedan,TRUE,Petrol,35000,6,Automatic,4x4,Black,12
45793536,12231,0,HYUNDAI,Elantra,2013,Coupe,FALSE,Petrol,77000,6,Manual,Front,Beige,0
42866899,22894,0,NISSAN,Pathfinder,2010,Sedan,FALSE,Petrol,109100,12,Automatic,4x4,Blue,12
45706976,11290,0,HONDA,FIT,2013,Sedan,FALSE,Hybrid,145000,4,Automatic,Front,Silver,8
45792706,14426,0,TOYOTA,Camry,2006,Sedan,TRUE,Hybrid,188800,4,Variator,Front,Grey,8
45543235,36065,1051,MITSUBISHI,Outlander,2016,Jeep,TRUE,Petrol,39000,4,Variator,Front,Silver,12
45749598,27284,0,TOYOTA,Camry SE,2014,Sedan,TRUE,Petrol,52000,4,Tiptronic,Front,Black,12
45617361,21639,1091,SUBARU,Forester,2016,Jeep,FALSE,Petrol,34000,4,Variator,4x4,White,7
45804791,24198,640,HYUNDAI,Tucson,2013,Jeep,TRUE,Diesel,124000,4,Automatic,Front,Silver,4
45809396,25365,502,HONDA,FIT,2013,Hatchback,TRUE,Petrol,34682,4,Automatic,Front,Grey,4
45806345,17249,586,TOYOTA,Prius,2012,Sedan,FALSE,Hybrid,22400,4,Automatic,Front,White,8
45756945,31361,639,HYUNDAI,Sonata,2014,Sedan,TRUE,Petrol,62000,4,Tiptronic,Front,White,12
45809778,12720,645,CHEVROLET,Cruze,2011,Sedan,TRUE,Petrol,135759,4,Automatic,Front,Grey,4
45804848,26372,640,HYUNDAI,Tucson,2013,Jeep,TRUE,Diesel,120534,4,Automatic,Front,Silver,4
45786770,13485,0,BMW,X5,2003,Jeep,TRUE,LPG,189000,6,Tiptronic,4x4,Black,10
45730143,25591,528,HYUNDAI,Elantra,2014,Sedan,TRUE,Petrol,140000,4,Automatic,Front,White,4
45764921,39829,1811,LEXUS,GX 460,2010,Jeep,TRUE,Petrol,155821,8,Automatic,4x4,Black,0
45624104,12231,574,HONDA,Insight,2010,Sedan,FALSE,Hybrid,150000,4,Variator,Front,Black,12
45810274,24302,765,CHEVROLET,Malibu,2015,Sedan,TRUE,Diesel,60618,4,Automatic,Front,Black,4
45682514,17249,1051,HYUNDAI,Sonata,2016,Sedan,FALSE,Petrol,77000,4,Tiptronic,Front,Silver,10
45235243,24148,0,TOYOTA,Prius,2013,Hatchback,FALSE,Hybrid,118000,4,Automatic,Front,Sky blue,12
45569356,18817,697,HYUNDAI,Elantra,2015,Sedan,FALSE,Petrol,85000,4,Tiptronic,Front,Black,12
45757721,10349,308,LEXUS,CT 200h,2014,Hatchback,TRUE,Hybrid,132563,4,Automatic,Front,Red,0
45804868,55823,930,HYUNDAI,Tucson,2018,Jeep,TRUE,Diesel,38577,4,Automatic,Front,Black,4
45491644,25089,0,TOYOTA,Camry,2013,Sedan,TRUE,Petrol,132800,6,Tiptronic,Rear,Blue,12
45802275,18669,862,HYUNDAI,H1,2011,Minivan,TRUE,Diesel,52686,4,Automatic,Front,Silver,4
45809240,10660,271,HONDA,FIT,2014,Hatchback,TRUE,Hybrid,76525,4,Automatic,Front,Blue,4
45803780,37000,891,HYUNDAI,Tucson,2016,Jeep,TRUE,Diesel,80000,4,Automatic,Front,Silver,4
45730373,18826,707,SSANGYONG,REXTON,2011,Jeep,TRUE,Diesel,186412,4,Automatic,Front,Silver,4
45725138,18826,836,SSANGYONG,Actyon,2010,Jeep,TRUE,Diesel,120000,4,Automatic,Front,Silver,4
45804512,22649,707,HYUNDAI,Tucson,2011,Jeep,TRUE,Diesel,142000,4,Automatic,Front,White,4
45802112,16590,862,HYUNDAI,H1,2011,Minivan,TRUE,Diesel,42415,4,Automatic,Front,White,4
45547620,31988,394,TOYOTA,Camry,2014,Sedan,FALSE,Hybrid,51000,4,Automatic,Front,Grey,12
45694949,21012,456,TOYOTA,Camry,2015,Sedan,FALSE,Hybrid,89000,4,Variator,Front,Silver,0
45746583,10663,1266,HONDA,FIT,2014,Hatchback,FALSE,Hybrid,114000,4,Automatic,Front,White,8
45756836,13485,1481,VOLKSWAGEN,GTI,2006,Hatchback,FALSE,Petrol,161000,4,Manual,Front,Black,8
45793973,11900,1677,FORD,Transit,2003,Microbus,TRUE,Diesel,195000,6,Manual,Front,Yellow,4
45418147,17249,697,VOLKSWAGEN,Jetta,2015,Sedan,TRUE,Petrol,55000,4,Tiptronic,Front,Black,10
45810764,17876,1661,FORD,C-MAX,2013,Hatchback,TRUE,Hybrid,120000,4,Tiptronic,Front,Silver,10
45766173,11604,0,HONDA,FIT,2010,Hatchback,FALSE,Hybrid,157000,4,Tiptronic,Front,White,2
45804403,40769,1249,TOYOTA,RAV 4 s p o r t,2017,Jeep,FALSE,Petrol,76000,4,Tiptronic,4x4,Black,12
45805624,14113,862,VOLKSWAGEN,Jetta,2011,Sedan,TRUE,Petrol,156800,4,Automatic,Front,Blue,12
45793535,11917,0,HONDA,FIT,2011,Hatchback,FALSE,Hybrid,188000,4,Automatic,Front,Blue,8
45732782,12777,640,HYUNDAI,Sonata,2013,Sedan,TRUE,Petrol,162558,4,Automatic,Front,Black,4
45806608,18817,0,TOYOTA,Prius C,2013,Hatchback,FALSE,Hybrid,130000,4,Automatic,Front,Red,12
45787228,23521,781,TOYOTA,Camry,2012,Sedan,TRUE,Hybrid,83000,4,Variator,Front,Silver,10
45793522,22580,1286,AUDI,Q5,2010,Jeep,TRUE,Petrol,150400,6,Tiptronic,4x4,Grey,7
45641652,11133,394,TOYOTA,Camry,2014,Sedan,TRUE,Hybrid,179381,4,Automatic,Front,Black,12
44930562,34184,1058,MERCEDES-BENZ,E 350,2012,Sedan,TRUE,Petrol,133000,6,Automatic,Rear,Black,12
44889000,21169,781,CHEVROLET,Cruze,2018,Sedan,FALSE,Petrol,25304,4,Automatic,Front,Brown,8
45732969,13485,765,HYUNDAI,Sonata,2015,Sedan,TRUE,LPG,72369,4,Automatic,Front,Silver,4
45763904,81539,1935,LEXUS,GX 460,2016,Jeep,TRUE,Petrol,155976,8,Automatic,4x4,White,0
45797639,20005,531,HYUNDAI,Elantra,2012,Sedan,TRUE,Petrol,147718,4,Automatic,Front,Silver,4
44840731,11917,0,TOYOTA,Camry,2007,Sedan,FALSE,Hybrid,2.00E+05,4,Variator,Front,Grey,12
45815751,84675,0,MERCEDES-BENZ,GLC 300,2018,Sedan,TRUE,Petrol,4500,6,Tiptronic,Rear,Black,12
45810115,12570,761,CHEVROLET,Lacetti,2010,Sedan,TRUE,Petrol,152293,4,Automatic,Front,Grey,4
45809650,14009,595,TOYOTA,Aqua,2015,Hatchback,TRUE,Petrol,137350,4,Automatic,Front,Silver,4
45801743,23521,0,TOYOTA,Corolla,2014,Sedan,FALSE,Petrol,40000,4,Automatic,Front,Green,16
45812917,25716,891,FORD,Fusion Titanium,2016,Sedan,TRUE,Petrol,65000,4,Tiptronic,Front,Silver,12
45801930,21730,831,HYUNDAI,Elantra,2017,Sedan,TRUE,LPG,32510,4,Automatic,Front,Blue,4
45731010,80911,1325,HYUNDAI,H1,2019,Minivan,TRUE,Diesel,25541,4,Automatic,Front,Black,4
45801991,19369,707,HYUNDAI,Genesis,2011,Coupe,TRUE,Petrol,153651,4,Automatic,Front,Red,4
45816319,12544,0,SUZUKI,Jimny,2000,Jeep,FALSE,Petrol,125000,4,Manual,4x4,Green,4
45804423,25299,642,HYUNDAI,Tucson,2012,Jeep,TRUE,Diesel,160000,4,Automatic,Front,Grey,4
45786773,18817,0,TOYOTA,Prius,2011,Sedan,TRUE,Hybrid,160000,4,Tiptronic,Front,Silver,12
45803971,61499,1077,HYUNDAI,Tucson,2019,Jeep,TRUE,Diesel,1217,4,Automatic,Front,Blue,4
45775702,17249,0,TOYOTA,Prius,2011,Hatchback,FALSE,Hybrid,141000,4,Automatic,Front,Grey,6
45733413,51225,1017,HYUNDAI,Sonata,2017,Sedan,TRUE,Petrol,58414,4,Automatic,Front,Silver,4
45802860,49798,765,HYUNDAI,Santa FE,2015,Jeep,TRUE,Diesel,93555,4,Automatic,Front,White,4
45788616,17249,585,HYUNDAI,Elantra,2013,Sedan,TRUE,Petrol,64800,4,Tiptronic,Front,Black,12
45263113,29166,0,FORD,Escape,2014,Jeep,TRUE,Petrol,127000,4,Tiptronic,4x4,Silver,8
45756444,79971,0,LEXUS,NX 200,2017,Jeep,TRUE,Petrol,35000,4,Tiptronic,Front,Beige,12
45773579,11604,993,OPEL,Astra,2006,Goods wagon,FALSE,Diesel,27000,16,Manual,Front,Black,8
45775203,15681,0,GAZ,32214,1977,Limousine,FALSE,Petrol,11111,6,Manual,Rear,Black,0
45776194,19444,0,VOLKSWAGEN,Jetta,2015,Sedan,TRUE,Petrol,102400,4,Automatic,Front,Silver,8
45654686,43592,1714,MERCEDES-BENZ,GLE 350,2017,Jeep,TRUE,Petrol,39814,6,Automatic,Rear,Black,0
45731424,15367,878,TOYOTA,Prius,2009,Hatchback,FALSE,Hybrid,174000,4,Variator,Front,Blue,8
45488069,14113,0,HONDA,Shuttle,2013,Universal,FALSE,Hybrid,150000,4,Automatic,Front,White,4
45736700,17876,642,FORD,C-MAX,2012,Hatchback,FALSE,Hybrid,128205,4,Automatic,Front,Silver,10
45770530,10349,0,MERCEDES-BENZ,C 240,2002,Sedan,TRUE,Petrol,2000,6,Tiptronic,Rear,Black,12
45763114,15000,0,SUBARU,Legacy,2008,Sedan,FALSE,Petrol,138000,6,Tiptronic,4x4,Black,8
45797535,36827,1249,HYUNDAI,H1,2017,Universal,TRUE,Diesel,137000,4,Automatic,Front,White,4
45816443,14113,0,NISSAN,Elgrand,2003,Minivan,FALSE,LPG,155000,6,Tiptronic,4x4,Golden,4
45730751,40340,730,SSANGYONG,Actyon,2016,Jeep,TRUE,Diesel,59272,4,Automatic,Front,White,4
45774877,25089,919,MERCEDES-BENZ,C 300,2012,Sedan,TRUE,Petrol,86000,6,Tiptronic,4x4,White,12
45732150,18688,707,HYUNDAI,Santa FE,2011,Jeep,TRUE,Diesel,143166,4,Automatic,Front,Grey,4
45729553,28830,629,HYUNDAI,Elantra,2015,Sedan,TRUE,Petrol,68243,4,Automatic,Front,Silver,4
45781983,42337,0,LEXUS,GX 470,2006,Jeep,TRUE,CNG,180000,8,Automatic,4x4,Black,0
